,Title,Date,Time,Score,Comments
67,88-year-old man honours wifes memory by making blankets for disadvantaged children,11-04-2017,16:44:52,685,13
68,ICE Seized a Mother of Special Needs Kids With No Criminal Record Before She Could Say Goodbye,11-04-2017,23:45:57,173,249
69,CBS News investigation exposes drug abuse among Navy SEALs,12-04-2017,07:02:35,43,19
70,Sheriff IDs body of pipeline protester discovered in river,11-04-2017,17:35:44,477,64
71,Chinas H7N9 bird flu death toll at 47 in March: government data,12-04-2017,18:16:34,6,1
72,"Beat me like an animal: Muslim woman says attacker ripped off her hijab, cut her with knife",12-04-2017,16:20:40,6,19
73,Museum of Moving Image uses Kickstarter to help save Muppets,12-04-2017,18:09:38,4,0
74,NASA to announce finding which will inform the search for life beyond Earth,11-04-2017,18:16:14,402,228
75,Chief Medical Examiner pleads for more state funding,12-04-2017,18:01:07,6,2
76,Pharmaceutical Theft  $60 Million Heist Largest in Connecticut History,12-04-2017,06:36:49,40,6
77,Bacon bust: 4 charged with illegally selling wild hogs,12-04-2017,16:53:42,6,0
78,"Dorothy Mengering, David Lettermans Mom and Late Show Personality, Dies at 95",12-04-2017,07:18:56,33,0
79,A grand jury in Virginia has indicted a police officer accused of filming a minor who was undressing.,11-04-2017,16:08:30,512,69
80,Teens wheelchair stolen while he was getting treatment at hospital,12-04-2017,07:54:20,24,4
81,Putin Meets With Tillerson in Russia After Keeping Him Waiting,12-04-2017,19:51:58,5,0
82,"5 dead in murder-suicide spree in Houston, Ft. Bend Co.",12-04-2017,01:27:55,86,20
83,Charging Bull sculptor accuses NYC of violating his rights,12-04-2017,04:26:13,50,50
84,Facebook post helped trooper nab 2 Oregon elk poachers,12-04-2017,05:14:30,42,6
85,Taiwan becomes first country in (East) Asia to ban eating of cat and dog meat,12-04-2017,01:46:16,77,22
86,"Borussia Dortmund vs Monaco, Champions League: bus explosion reports latest",11-04-2017,21:59:12,155,46
87,"Syria chemical attack: Sarin gas was used in Khan Sheikhoun strike, says UK ambassador to UN",12-04-2017,18:43:42,2,1
88,Five Arrested by GSU during Sit-in Protest for Turner Field CBA,12-04-2017,20:46:22,2,0
89,Vermont considers making single-use bathrooms gender-free,11-04-2017,17:11:11,309,228
90,1 Killed in I-95 Crash That Left Semi-Truck Dangling Off Overpass in Fla.,12-04-2017,16:32:15,3,0
91,Journalist who exposed Donald Trump charitable claims and revealed grab em by the pussy tape wins Pulitzer,11-04-2017,04:25:11,3216,419
92,Chicago Police Say The Man They Brutally Dragged United Flight Just Fell,10-04-2017,23:54:41,13303,1961
93,Borussia Dortmund attack: Police investigate Islamist link,12-04-2017,19:48:09,3,0
94,Prosecutor: Manchester by the Sea inspired duo to kill son,12-04-2017,19:24:12,2,3
95,"An advocacy group says the U.S. Department of Homeland Securitys internal watchdog fielded more than 1,000 complaints of sexual assault or sexual abuse from people in custody in a little more than two years.",11-04-2017,23:19:59,81,2
96,Genius Banker Loses $225 Million Divorce Battle,12-04-2017,17:06:33,4,7
97,U.S. woman pleads guilty in plot to kill shoppers at Halifax mall,12-04-2017,06:20:19,21,5
98,Brexit latest: Food inflation hits highest rate in three years in March,11-04-2017,15:57:09,301,41
99,Upstate NY newspaper delivery driver retires after 57 years,12-04-2017,16:22:09,1,0
100,First African-American Woman to Serve on States Highest Court Found Dead in Hudson River,13-04-2017,03:45:06,28466,2690
101,"Boy, 8, drives sister, 4, to McDonalds for a cheeseburger, doesnt hit anything on the way",13-04-2017,00:05:13,11316,630
102,Charlie Murphy dead at 57 after battle with leukaemia.,12-04-2017,21:19:03,38617,1049
103,Scientists Announce That The Great Barrier Reef is Officially Terminal,13-04-2017,03:44:59,1555,183
